date,outlet_name,item_name,net_revenue,quantity,restaurant_id,brand,aggregator,gst,delivery_charges,packaging_charges,bill_amt
2025-12-05,QAFFEINE-BHOOJA,SWIGGY,224.0,1,QOH0221,QAFFEINE,SWIGGY,0,0,20,244
2025-12-01,QAFFFEINE-MUSARAMBAGH,SWIGGY,1702.01,5,QOH0233,QAFFEINE,SWIGGY,0,0,100,1802.01
2025-12-01,QAFFFEINE-MUSARAMBAGH,ZOMATO,4269.9,8,QOH0233,QAFFEINE,ZOMATO,0,0,160,4429.9
2025-12-02,QAFFFEINE-MUSARAMBAGH,SWIGGY,3687.21,8,QOH0233,QAFFEINE,SWIGGY,0,0,160,3847.21
2025-12-02,QAFFFEINE-MUSARAMBAGH,ZOMATO,876.0,5,QOH0233,QAFFEINE,ZOMATO,0,0,100,976
2025-12-03,QAFFFEINE-MUSARAMBAGH,SWIGGY,940.01,3,QOH0233,QAFFEINE,SWIGGY,0,0,60,1000.01
2025-12-03,QAFFFEINE-MUSARAMBAGH,ZOMATO,669.0,1,QOH0233,QAFFEINE,ZOMATO,0,0,20,689
2025-12-04,QAFFFEINE-MUSARAMBAGH,SWIGGY,1613.0,6,QOH0233,QAFFEINE,SWIGGY,0,0,120,1733
2025-12-04,QAFFFEINE-MUSARAMBAGH,ZOMATO,372.3,1,QOH0233,QAFFEINE,ZOMATO,0,0,20,392.3
2025-12-05,QAFFFEINE-MUSARAMBAGH,SWIGGY,204.0,1,QOH0233,QAFFEINE,SWIGGY,0,0,20,224
2025-12-05,QAFFFEINE-MUSARAMBAGH,ZOMATO,976.95,3,QOH0233,QAFFEINE,ZOMATO,0,0,60,1036.95
2025-12-06,QAFFFEINE-MUSARAMBAGH,SWIGGY,1657.0,5,QOH0233,QAFFEINE,SWIGGY,0,0,100,1757
2025-12-06,QAFFFEINE-MUSARAMBAGH,ZOMATO,1836.25,5,QOH0233,QAFFEINE,ZOMATO,0,0,100,1936.25
2025-12-07,QAFFFEINE-MUSARAMBAGH,SWIGGY,2139.04,5,QOH0233,QAFFEINE,SWIGGY,0,0,100,2239.04
2025-12-07,QAFFFEINE-MUSARAMBAGH,ZOMATO,1022.1,4,QOH0233,QAFFEINE,ZOMATO,0,0,80,1102.1
2025-12-01,QAFFEINE-GVK-ONE,SWIGGY,1278.01,4,QOH0236,QAFFEINE,SWIGGY,0,0,80,1358.01
2025-12-01,QAFFEINE-GVK-ONE,ZOMATO,199.0,1,QOH0236,QAFFEINE,ZOMATO,0,0,20,219
2025-12-02,QAFFEINE-GVK-ONE,SWIGGY,895.0,3,QOH0236,QAFFEINE,SWIGGY,0,0,60,955
2025-12-02,QAFFEINE-GVK-ONE,ZOMATO,779.45,3,QOH0236,QAFFEINE,ZOMATO,0,0,60,839.45
2025-12-03,QAFFEINE-GVK-ONE,SWIGGY,433.0,1,QOH0236,QAFFEINE,SWIGGY,0,0,20,453
2025-12-04,QAFFEINE-GVK-ONE,SWIGGY,586.3,2,QOH0236,QAFFEINE,SWIGGY,0,0,40,626.3
2025-12-04,QAFFEINE-GVK-ONE,ZOMATO,575.3,2,QOH0236,QAFFEINE,ZOMATO,0,0,40,615.3
2025-12-05,QAFFEINE-GVK-ONE,SWIGGY,866.0,2,QOH0236,QAFFEINE,SWIGGY,0,0,40,906
2025-12-05,QAFFEINE-GVK-ONE,ZOMATO,815.2,1,QOH0236,QAFFEINE,ZOMATO,0,0,20,835.2
2025-12-06,QAFFEINE-GVK-ONE,SWIGGY,880.3,3,QOH0236,QAFFEINE,SWIGGY,0,0,60,940.3
2025-12-06,QAFFEINE-GVK-ONE,ZOMATO,1002.45,3,QOH0236,QAFFEINE,ZOMATO,0,0,60,1062.45
2025-12-07,QAFFEINE-GVK-ONE,SWIGGY,662.0,2,QOH0236,QAFFEINE,SWIGGY,0,0,40,702
2025-12-07,QAFFEINE-GVK-ONE,ZOMATO,199.0,1,QOH0236,QAFFEINE,ZOMATO,0,0,20,219
2025-12-02,QAFFEINE-PHOENIX,SWIGGY,588.0,1,,QAFFEINE,SWIGGY,0,0,0,588
2025-12-02,QAFFEINE-PHOENIX,ZOMATO,123.0,1,,QAFFEINE,ZOMATO,0,0,0,123
2025-12-03,QAFFEINE-PHOENIX,SWIGGY,598.0,1,,QAFFEINE,SWIGGY,0,0,0,598
2025-12-04,QAFFEINE-PHOENIX,SWIGGY,568.0,1,,QAFFEINE,SWIGGY,0,0,0,568
2025-12-04,QAFFEINE-PHOENIX,ZOMATO,737.0,2,,QAFFEINE,ZOMATO,0,0,0,737
2025-12-07,QAFFEINE-PHOENIX,ZOMATO,153.0,1,,QAFFEINE,ZOMATO,0,0,0,153
